NAME,B01003_001E,state,county
"Fulton County, Georgia",1068507,13,121
"Gilmer County, Georgia",31976,13,123
"Glascock County, Georgia",2913,13,125
"Glynn County, Georgia",84987,13,127
"Gordon County, Georgia",58336,13,129
"Grady County, Georgia",26056,13,131
"Greene County, Georgia",19586,13,133
"Gwinnett County, Georgia",966972,13,135
"Habersham County, Georgia",46948,13,137
"Hall County, Georgia",208395,13,139
"Hancock County, Georgia",8630,13,141
"Haralson County, Georgia",30720,13,143
"Harris County, Georgia",35509,13,145
"Hart County, Georgia",26484,13,147
"Heard County, Georgia",11616,13,149
"Henry County, Georgia",245417,13,151
"Houston County, Georgia",166902,13,153
"Irwin County, Georgia",9385,13,155
"Jackson County, Georgia",80640,13,157
"Jasper County, Georgia",15345,13,159
"Jeff Davis County, Georgia",14838,13,161
"Jefferson County, Georgia",15468,13,163
"Jenkins County, Georgia",8674,13,165
"Johnson County, Georgia",9192,13,167
"Jones County, Georgia",28526,13,169
"Lamar County, Georgia",19098,13,171
"Lanier County, Georgia",10094,13,173
"Laurens County, Georgia",49619,13,175
"Lee County, Georgia",33337,13,177
"Liberty County, Georgia",66826,13,179
"Lincoln County, Georgia",7773,13,181
"Long County, Georgia",17512,13,183
"Lowndes County, Georgia",119055,13,185
"Lumpkin County, Georgia",33931,13,187
"McDuffie County, Georgia",21687,13,189
"McIntosh County, Georgia",11187,13,191
"Macon County, Georgia",11953,13,193
"Madison County, Georgia",30914,13,195
"Marion County, Georgia",7474,13,197
"Meriwether County, Georgia",20757,13,199
"Miller County, Georgia",5873,13,201
"Mitchell County, Georgia",21441,13,205
"Monroe County, Georgia",28919,13,207
"Montgomery County, Georgia",8675,13,209
"Morgan County, Georgia",20614,13,211
"Murray County, Georgia",40282,13,213
"Muscogee County, Georgia",204383,13,215
"Newton County, Georgia",115530,13,217
"Oconee County, Georgia",42788,13,219
"Oglethorpe County, Georgia",15221,13,221
"Paulding County, Georgia",174292,13,223
"Peach County, Georgia",28269,13,225
"Pickens County, Georgia",34197,13,227
"Pierce County, Georgia",19996,13,229
"Pike County, Georgia",19540,13,231
"Polk County, Georgia",43365,13,233
"Pulaski County, Georgia",9893,13,235
"Putnam County, Georgia",22524,13,237
"Quitman County, Georgia",2092,13,239
"Rabun County, Georgia",17107,13,241
"Randolph County, Georgia",6270,13,243
"Richmond County, Georgia",206040,13,245
"Rockdale County, Georgia",94293,13,247
"Schley County, Georgia",4539,13,249
"Screven County, Georgia",14057,13,251
"Seminole County, Georgia",9117,13,253
"Spalding County, Georgia",68215,13,255
"Stephens County, Georgia",26842,13,257
"Stewart County, Georgia",4978,13,259
"Sumter County, Georgia",29174,13,261
"Talbot County, Georgia",5753,13,263
"Taliaferro County, Georgia",1740,13,265
"Tattnall County, Georgia",24215,13,267
"Taylor County, Georgia",7786,13,269
"Telfair County, Georgia",12174,13,271
"Terrell County, Georgia",8941,13,273
"Thomas County, Georgia",45696,13,275
"Tift County, Georgia",41322,13,277
"Toombs County, Georgia",26943,13,279
"Towns County, Georgia",12739,13,281
"Treutlen County, Georgia",6387,13,283
"Troup County, Georgia",69821,13,285
"Turner County, Georgia",8915,13,287
"Twiggs County, Georgia",7869,13,289
"Union County, Georgia",25598,13,291
"Upson County, Georgia",27856,13,293
"Walker County, Georgia",68449,13,295
"Walton County, Georgia",100361,13,297
"Ware County, Georgia",35958,13,299
"Warren County, Georgia",5175,13,301
"Washington County, Georgia",19893,13,303
"Wayne County, Georgia",30519,13,305
"Webster County, Georgia",2348,13,307
"Wheeler County, Georgia",7434,13,309
"White County, Georgia",28454,13,311
"Whitfield County, Georgia",103118,13,313
"Wilcox County, Georgia",8784,13,315
"Wilkes County, Georgia",9553,13,317
"Wilkinson County, Georgia",8795,13,319
"Worth County, Georgia",20575,13,321
"Hawaii County, Hawaii",203684,15,001
"Honolulu County, Hawaii",1003666,15,003
"Kalawao County, Hawaii",43,15,005
"Kauai County, Hawaii",73610,15,007
"Maui County, Hawaii",164632,15,009
"Ada County, Idaho",508052,16,001
"Adams County, Idaho",4599,16,003
"Bannock County, Idaho",88457,16,005
"Bear Lake County, Idaho",6552,16,007
"Benewah County, Idaho",9913,16,009
"Bingham County, Idaho",48993,16,011
"Blaine County, Idaho",24579,16,013
"Boise County, Idaho",8045,16,015
"Bonner County, Idaho",49456,16,017
"Bonneville County, Idaho",127056,16,019
"Boundary County, Idaho",12695,16,021
"Butte County, Idaho",2654,16,023
"Camas County, Idaho",1155,16,025
"Canyon County, Idaho",242405,16,027
"Caribou County, Idaho",7118,16,029
"Cassia County, Idaho",25165,16,031
"Clark County, Idaho",776,16,033
"Clearwater County, Idaho",8921,16,035
"Custer County, Idaho",4411,16,037
"Elmore County, Idaho",29046,16,039
"Franklin County, Idaho",14715,16,041
