geoid,name,C17002001,"C17002001, Error",C17002002,"C17002002, Error",C17002003,"C17002003, Error",C17002004,"C17002004, Error",C17002005,"C17002005, Error",C17002006,"C17002006, Error",C17002007,"C17002007, Error",C17002008,"C17002008, Error"
05000US48481,"Wharton County, TX",40938,171,2691,663,3236,878,2222,803,2047,590,3204,989,1230,721,26308,1413
05000US48483,"Wheeler County, TX",4807,32,250,163,433,190,401,210,210,146,229,164,150,83,3134,325
05000US48485,"Wichita County, TX",118192,475,9339,1538,9428,1237,4377,810,5472,856,8616,1184,4060,645,76900,2404
05000US48487,"Wilbarger County, TX",12209,34,994,343,1307,332,604,215,1672,549,682,246,391,277,6559,584
05000US48489,"Willacy County, TX",18648,162,1581,623,3012,891,2007,706,1608,672,1335,423,338,241,8767,945
05000US48491,"Williamson County, TX",639040,444,17811,1684,22696,2612,12726,1717,16938,2176,22927,2432,11718,2006,534224,4790
05000US48493,"Wilson County, TX",50928,105,2619,724,2368,879,1893,648,1464,484,2683,711,1127,522,38774,1445
05000US48495,"Winkler County, TX",7458,5,344,224,549,214,273,154,223,120,490,271,150,145,5429,463
05000US48497,"Wise County, TX",70809,251,2687,587,3787,964,2927,930,2866,794,3936,721,2569,761,52037,1819
05000US48499,"Wood County, TX",44332,126,2156,602,3444,643,1747,558,2131,584,3456,942,1817,707,29581,1410
05000US48501,"Yoakum County, TX",7543,3,126,96,782,445,143,191,377,233,402,291,53,66,5660,606
05000US48503,"Young County, TX",17685,37,1099,404,1853,625,545,281,462,243,1449,497,568,240,11709,774
05000US48505,"Zapata County, TX",13602,91,2994,751,2098,650,631,323,1139,445,996,426,813,535,4931,820
05000US48507,"Zavala County, TX",9471,6,946,477,2492,497,1519,784,466,266,292,212,204,190,3552,486
05000US49001,"Beaver County, UT",6891,73,319,249,195,123,37,37,286,203,294,256,41,55,5719,402
05000US49003,"Box Elder County, UT",59291,72,2220,563,2891,647,1922,545,2832,675,3875,866,2207,555,43344,1338
05000US49005,"Cache County, UT",132974,120,7413,940,9972,1291,6158,948,6552,1136,8663,1116,3721,791,90495,1999
05000US49007,"Carbon County, UT",20116,45,1328,325,2049,505,1240,325,1008,307,1737,441,697,251,12057,627
05000US49009,"Daggett County, UT",711,132,40,16,32,28,15,17,31,25,11,10,18,14,564,128
05000US49011,"Davis County, UT",363739,346,9441,1753,12296,1759,7744,1430,9120,1448,16345,2325,6825,1326,301968,3664
05000US49013,"Duchesne County, UT",19588,70,1229,366,1376,279,1068,340,861,236,1380,315,838,321,12836,702
05000US49015,"Emery County, UT",9868,65,475,174,637,205,239,120,521,197,686,195,500,242,6810,405
05000US49017,"Garfield County, UT",5013,19,224,104,333,157,211,104,148,86,575,209,97,79,3425,251
05000US49019,"Grand County, UT",9605,20,1048,400,584,345,320,264,347,206,708,382,444,286,6154,573
05000US49021,"Iron County, UT",59385,82,4092,592,4007,911,2526,665,4115,1210,4767,996,2359,730,37519,1729
05000US49023,"Juab County, UT",12107,66,356,169,735,246,354,196,364,224,872,363,229,118,9197,410
05000US49025,"Kane County, UT",7776,56,267,143,545,249,335,215,281,192,400,240,387,304,5561,493
